country,m_pd_bw_30_70,m_pd_bw_30_70_male,m_pd_bw_30_70_female,m_cr_suicide_r,m_cr_suicide_r_male,m_cr_suicide_r_female,Prob_death_growth_rate,crude_suicide_growth_rate,DD_total_cases,DD_perc_of_pop,AD_total_cases,AD_perc_of_pop
switzerland,10.1,12.8,7.5,18.62,24.36,13.02,31.75,21.1,388870.0,5.0,383015.0,4.9
syrian arab republic,22.1,25.64,18.52,1.72,2.68,0.76,3.54,-46.15,688074.0,3.9,751216.0,4.3
tajikistan,26.28,29.1,23.32,2.68,3.9,1.42,7.33,16.67,304018.0,3.8,250738.0,3.1
thailand,16.36,19.9,13.12,14.44,22.64,6.56,24.48,11.11,2885221.0,4.4,2275400.0,3.5
the former yugoslav republic of macedonia,22.86,28.16,17.66,7.3,10.62,3.96,21.92,-2.6,97232.0,5.0,75708.0,3.9
timor-leste,22.82,24.42,21.14,6.0,8.14,3.8,25.75,50.54,33932.0,3.0,32769.0,2.9
togo,24.32,24.98,23.7,9.6,12.86,6.38,5.22,0.0,277532.0,3.9,194844.0,2.8
tonga,24.58,30.46,19.08,3.52,4.14,2.88,10.73,2.78,3205.0,3.2,3333.0,3.3
trinidad and tobago,24.34,28.12,20.72,13.78,22.44,5.3,26.3,8.72,67614.0,5.2,79574.0,6.1
tunisia,17.5,22.0,12.98,3.5,4.78,2.24,16.58,2.86,518432.0,4.9,492065.0,4.6
turkey,18.64,24.52,13.04,7.56,11.92,3.32,27.8,-1.39,3260677.0,4.4,2998925.0,4.0
turkmenistan,32.14,39.16,25.56,8.46,13.2,3.86,13.24,26.37,214010.0,4.2,169788.0,3.4
uganda,23.44,25.28,21.92,10.38,10.7,10.1,15.44,10.81,1747769.0,4.6,1070004.0,2.8
ukraine,29.96,41.32,20.22,28.8,51.82,8.9,27.99,39.3,2800587.0,6.3,1410593.0,3.2
united arab emirates,18.48,18.86,17.36,2.98,3.86,0.84,22.22,12.5,444016.0,5.1,354199.0,4.1
united kingdom,12.98,15.58,10.44,8.54,12.84,4.42,33.54,2.2,2692081.0,4.5,2557430.0,4.2
united republic of tanzania,18.74,19.26,18.32,5.7,8.14,3.3,15.57,21.74,2138939.0,4.1,1551036.0,3.0
united states of america,15.48,18.58,12.54,13.34,20.76,6.1,18.89,-35.4,17491047.0,5.9,18711966.0,6.3
uruguay,18.24,23.92,13.1,17.42,28.1,7.42,18.93,-5.75,158005.0,5.0,203915.0,6.4
uzbekistan,27.0,32.18,22.04,6.84,9.68,4.0,16.38,2.63,1186450.0,4.2,933129.0,3.3
vanuatu,25.08,28.44,21.32,5.42,7.88,2.88,16.49,38.36,7917.0,3.1,8204.0,3.2
venezuela (bolivarian republic of),19.14,22.68,15.7,5.14,8.68,1.62,16.2,53.75,1270099.0,4.2,1322024.0,4.4
viet nam,17.88,24.46,12.06,6.98,10.46,3.62,8.06,-8.96,3564934.0,4.0,1941166.0,2.2
yemen,31.78,34.38,29.28,8.16,10.94,5.26,7.55,-25.0,915231.0,3.6,1058170.0,4.1
zambia,20.02,19.82,20.22,6.62,9.52,3.8,22.84,24.69,636819.0,4.0,469177.0,3.0
zimbabwe,20.78,20.3,21.16,12.0,18.32,6.0,10.65,17.05,603529.0,4.0,422238.0,2.8
